drug_Abacavir -6.8 +- 0.0
drug_Abiraterone -7.7 +- 0.0
drug_Acamprosate -4.6 +- 0.1
drug_Acarbose -7.3 +- 0.0
drug_Acebutolol -5.8 +- 0.0
drug_Acenocoumarol -6.9 +- 0.0
drug_Acepromazine -6.5 +- 0.0
drug_Aceprometazine -6.4 +- 0.0
drug_Acetaminophen -5.1 +- 0.0
drug_Acetazolamide -5.5 +- 0.0
drug_Acetic_acid -3.2 +- 0.0
drug_Acetohexamide -7.1 +- 0.0
drug_Acetohydroxamic_Acid -3.7 +- 0.0
drug_Acetophenazine -7.8 +- 0.0
drug_Acetylcysteine -4.5 +- 0.0
drug_Acetyldigitoxin -8.7 +- 0.0
drug_Acetylsalicylic_acid -5.2 +- 0.0
drug_Acitretin -6.6 +- 0.0
drug_Acyclovir -6.3 +- 0.0
drug_Adapalene -9.0 +- 0.0
drug_Adefovir_Dipivoxil -6.8 +- 0.0
drug_Adenine -5.0 +- 0.0
drug_Adenosine -6.5 +- 0.0
drug_Adenosine_monophosphate -7.2 +- 0.0
drug_Adenosine_triphosphate -7.7 +- 0.0
drug_Adinazolam -7.0 +- 0.0
drug_Afatinib -7.9 +- 0.0
drug_Agomelatine -6.0 +- 0.0
drug_Ajmaline -7.6 +- 0.0
drug_Albendazole -5.8 +- 0.0
drug_Alcaftadine -7.3 +- 0.0
drug_Alclometasone -7.3 +- 0.0
drug_Alendronate -5.3 +- 0.0
drug_Alfacalcidol -7.5 +- 0.0
drug_Alfentanil -6.6 +- 0.1
drug_Alfuzosin -7.1 +- 0.0
drug_Aliskiren -6.2 +- 0.0
drug_Alitretinoin -6.7 +- 0.0
drug_Alizapride -6.9 +- 0.0
drug_Allopurinol -5.4 +- 0.0
drug_Allylestrenol -7.2 +- 0.0
drug_Almitrine -7.5 +- 0.0
drug_Almotriptan -6.6 +- 0.1
drug_Alogliptin -6.9 +- 0.0
drug_Alosetron -7.0 +- 0.0
drug_Alpha-Linolenic_Acid -5.5 +- 0.0
drug_Alprazolam -7.3 +- 0.4
drug_Alprenolol -5.5 +- 0.0
drug_Alprostadil -6.1 +- 0.0
drug_Altretamine -4.0 +- 0.0
drug_Alverine -5.2 +- 0.0
drug_Alvimopan -7.9 +- 0.0
drug_Amantadine -5.6 +- 0.0
drug_Ambenonium -6.2 +- 0.1
drug_Amcinonide -7.9 +- 0.0
drug_Amdinocillin -6.5 +- 0.0
drug_Amifostine -4.7 +- 0.0
drug_Amikacin -7.4 +- 0.2
drug_Amiloride -6.1 +- 0.0
drug_Aminocaproic_Acid -4.3 +- 0.1
drug_Aminoglutethimide -6.6 +- 0.0
drug_Aminohippurate -6.1 +- 0.0
drug_Aminolevulinic_acid -4.8 +- 0.0
drug_Aminophenazone -5.1 +- 0.0
drug_Aminosalicylic_Acid -5.4 +- 0.0
drug_Amiodarone -6.6 +- 0.0
drug_Amisulpride -6.3 +- 0.0
drug_Amitriptyline -6.9 +- 0.2
drug_Amlexanox -6.9 +- 0.0
drug_Amlodipine -5.6 +- 0.0
drug_Amobarbital -5.8 +- 0.0
